,average_rate($),num_of_bedrooms,title_word_count,city,date_of_listing,description,latitude,longitude,title,url,Listing Month,Listing Year,lat_long,FullAddy
2079,40,1,6,Round Rock,Feb-17,"This is a beautiful 1 bedroom apartment located rite off 45 toll in Round rock, TX. 10 mins away from the Domain in North austin. Location is surrounded by bars and restaurants.",30.48512175,-97.65940253,Private luxury apartment next to DELL,https://www.airbnb.com/rooms/18291958?location=Coupland%2C%20TX,February,2017,"30.4851217543812,-97.6594025261023","bldg 7 78664, 2401 Greenlawn Blvd, Round Rock, TX 78664, United States"
2080,36,1,7,Austin,Jul-13,"Private room &amp; shared bath 6 miles or 10 mins (no traffic) from downtown. Your room is clean, 1/2 the price of a budget hotel, has a 5 star rating, &amp; is completely private (lock/key). Come enjoy the comfort of home in a unique East Austin neighborhood that combines the feel of a quirky Mayberry, while doing its part to keep Austin weird. Convenient to shopping, Mueller &amp; Austin entertainment.",30.32581421,-97.68251534,!Private Austin Room 6 miles to Downtown,https://www.airbnb.com/rooms/1401705?location=Coupland%2C%20TX,July,2013,"30.3258142108775,-97.68251534347158","1900 Rosetti Dr, Austin, TX 78752, USA"
2089,40,1,7,Austin,Apr-15,"Our home is located in a quiet neighborhood about 13 miles from downtown. The room we listed comfortably fits 2 people, with a second room available for 2 more. \n\n*This Room is currently not available however view our other room! \nhttps://airbnb.com/rooms/6809949?s=8&amp;user_id=31114712&amp;ref_device_id=c14439a87cf440aa48285e51afb37025270e7eb2 *",30.36366383,-97.61022977,Cozy and Friendly Home in the ATX,https://www.airbnb.com/rooms/5992402?location=Coupland%2C%20TX,April,2015,"30.363663831781697,-97.6102297677684","12201 Kilmartin Ln, Austin, TX 78754, USA"
2093,50,2,6,Austin,Sep-16,"My place is close to Walnut Creek Park. HEB Grocery. Little Woodrows Bar. 24 Hour Fitness and Golds Gym. Restaurants and dining. You‰Ûªll love my place because of No traffic on the streets. 15 minutes from Downtown. Tucked away. Swimming Pool. Natural Gas Fire Pit, Private Back Yard. My place is good for couples, solo adventurers, and business travelers.",30.39714998,-97.65918467,Austin - Home away from Home,https://www.airbnb.com/rooms/15232702?location=Coupland%2C%20TX,September,2016,"30.397149981250898,-97.6591846716876","12506 Wethersby Way, Austin, TX 78753, USA"
2097,155,2,7,Austin,Nov-14,"Our townhome is located on a private street near tranquil walking paths and greenbelt. It operates exclusively as a short term rental not as our home. It is newly renovated with 2 bedrooms, 2 full ensuite bathrooms, washer/dryer and a private outdoor patio. The fully equipped kitchen has all the appliances such as a coffee maker, microwave, toaster, gas top stove and large oven. Ceiling fans are installed throughout the home as well as AC, Wi/Fi internet, large washer and dryer!",30.39197719,-97.69883712,Licensed Leafy Townhome 2Bed/2Bath near The Domain,https://www.airbnb.com/rooms/6324076?location=Coupland%2C%20TX,November,2014,"30.3919771856436,-97.6988371248147","11606 Bittern Hollow, Austin, TX 78758, USA"
2100,150,1,4,Pflugerville,Dec-14,Come and enjoy our four bedroom home in your own private bedroom with combination lock. Relax in the eight capacity hot tub and dine on the full breakfast prepared just for you daily. Limited daily maid service provided on request. (Ask about $20. Discount) managers on property throughout your stay.,30.47658011,-97.63499242,YourPrivate Room with Breakfast ,https://www.airbnb.com/rooms/5106646?location=Coupland%2C%20TX,December,2014,"30.476580110095895,-97.63499241703009","1100 Connemara Ln, Pflugerville, TX 78660, USA"
2101,249,4,5,Austin,Nov-15,"Completely renovated luxury lake house with modern design, solar panels, and lots of upgrades at University Hills located on a quiet street!! 15 mins to downtown!! Beautiful new kitchen!! Open floor plan great for entertainment and gorgeous patio with BBQ Grill!! 4 car parking space!!",30.31322946,-97.67204949,Beautiful Solar Powered Lake House,https://www.airbnb.com/rooms/11351108?location=Coupland%2C%20TX,November,2015,"30.313229455797,-97.6720494895328","2914 Loyola Ln, Austin, TX 78723, USA"
2102,60,1,7,Austin,Jun-13,"Enjoy your stay in our private guest room with a shared bathroom. We have a brand new 2 single twin guest trundle beds which converts to a sofa. Only 10-15min drive from DT, Domain, and 6th Street area, easy access to I-35.",30.36493888,-97.67598062,Comfy Cute Guest Room in N Austin,https://www.airbnb.com/rooms/11278437?location=Coupland%2C%20TX,June,2013,"30.3649388800683,-97.67598061885592","10303 Walnut Bend Dr, Austin, TX 78753, USA"
2110,49,0,9,Austin,May-14,"Tiny House 814 is at the Community First Village, a 27-acre master planned community for the homeless in East Austin. There is a nearby individual-style bathhouse. Gardens, chickens, donkeys, bees, blacksmithing, timberframing and more are all happening right outside your window. I also encourage you to contact us about volunteering in one of our onsite micro-enterprises for a story to tell your friends about. We are a Village for the chronically homeless that is visited by thousands annually.",30.28146965,-97.62268437,Tiny House 814 at the MLF Community First Village,https://www.airbnb.com/rooms/17625957?location=Coupland%2C%20TX,May,2014,"30.2814696472611,-97.6226843671268","9301 Hog Eye Rd, Austin, TX 78724, USA"
2119,80,1,6,Austin,Mar-15,"This cute little getaway apartment is on the first floor and has respectful quiet Neighbors. Pool, gym are close to this apartment and parking is near. 1 bedroom with queen size bed, queen size pull-out sofa, queen size inflatable mattress.",30.44010608,-97.66795371,"Cozy, cute simple 1st floor apt",https://www.airbnb.com/rooms/14805225?location=Coupland%2C%20TX,March,2015,"30.440106081838398,-97.6679537058321","14785 N Interstate 35 Frontage Rd, Pflugerville, TX 78660, USA"
2123,30,1,4,Austin,Jul-16,"Personal apartment space perfect for small groups or single family.\n\nClose access to major shopping (Domain), grocery (HEB, Whole Foods), and freeway (I-35, Mo-Pac).",30.43536177,-97.67264399,Private 1 Bedroom Apt,https://www.airbnb.com/rooms/16534449?location=Coupland%2C%20TX,July,2016,"30.435361773864603,-97.672643993466","1773 Wells Branch Pkwy, Austin, TX 78728, USA"
2126,54,1,3,Austin,Oct-13,"Come enjoy our relaxing comfortable home adorned with a collection of Asian &amp; Egyptian decor. The amazingly high vaulted center ceiling &amp; interior atrium make it exceptionally unique. Great energy! \n\nYou can walk to the wooded park, enjoy outdoor shower, cozy up by the fireplace, or stroll over to the creek. \n\nTucked away from the hustle of city buzz, yet close enough to jump right in. 15 minutes from downtown, 10 min to any great shopping needs and the University area.",30.32948197,-97.64761801,BEAUTIFUL ZEN Hideaway,https://www.airbnb.com/rooms/5558744?location=Coupland%2C%20TX,October,2013,"30.3294819721733,-97.64761801189371","2 US-290, Austin, TX 78724, USA"
2128,47,1,6,Round Rock,Jan-16,"Nice private room in a quiet 4 bedroom 2 1/2 bath home in Round Rock, TX near Dell headquarters, shopping, and restaurants. 15-20 minutes from Austin.",30.49295837,-97.60870377,Quiet Queen Bed Refuge Near Dell,https://www.airbnb.com/rooms/10686117?location=Coupland%2C%20TX,January,2016,"30.492958367358398,-97.60870377406141","124 Homestead Dr, Round Rock, TX 78664, USA"
2134,30,1,7,Round Rock,Jan-14,"Exceptionally Clean, Quiet and Private!!! Close to Austin, Round Rock, Dell, I-35 and the 45 Tollway. Minutes from Cedar Park. Beautiful, private master suite in a spacious ranch style Round Rock home. This listing is for one Large Private Master Suite containing one queen bed, desk, large closet and private bathroom. You will have keyless 24/7 access to the house and room. You will have access to all common areas including the living room, kitchen, washer/dryer, and backyard patio with grill.",30.48714782,-97.68774427,CHIC Private Suite Near Austin/I-35 w/private Bath,https://www.airbnb.com/rooms/11304563?location=Coupland%2C%20TX,January,2014,"30.4871478166788,-97.687744273004","2406 Lasso Dr, Round Rock, TX 78681, USA"
2137,295,6,7,Round Rock,Apr-17,"Guests are sure to enjoy a memorable stay at our roomy, fully furnished, 4000 square foot Klondike house! Our 6 bedrooms can handle large groups or multiple families. Perfect for a family reunion! The open concept living room is complete with comfy couches and a flat screen TV, which is fully equipped with cable and wifi. Enjoy a rousing game of ping-pong, or cozy up for a movie in the theater room! Located in the heart of Round Rock, just off I-35, for a quick 30 min drive to downtown Austin.",30.53264364,-97.64821139,6 Bedroom Family Home in Round Rock,https://www.airbnb.com/rooms/18156186?location=Coupland%2C%20TX,April,2017,"30.532643644039698,-97.64821138705472","217 Newport Landing Pl, Round Rock, TX 78665, USA"
2142,44,1,3,Austin,Jun-12,"This room is the master suite of the house. It features a large walk in closet, private full bath with standing shower, modern windows, Bamboo flooring, a comfy queen size bed and computer nook with wifi.",30.36721843,-97.67978309,Indigo Moon Room,https://www.airbnb.com/rooms/10209590?location=Coupland%2C%20TX,June,2012,"30.367218434558502,-97.67978309296059","806 Salem Ln, Austin, TX 78753, USA"
2144,40,1,4,Austin,Sep-16,"You‰Ûªll love my place; clean, nicely decorated, quiet neighborhood. I am close to the Austin Airport, the COTA F1 Race Track, and an easy drive to the Downtown Austin Music Scene. My place is good for couples.",30.2284023,-97.58926545,Lannie's Place Bedroom 1,https://www.airbnb.com/rooms/15281219?location=Coupland%2C%20TX,September,2016,"30.2284023037492,-97.58926545066929","3011 Crownover St, Austin, TX 78725, USA"
2146,75,1,5,Austin,Mar-16,"A cozy space about 25 minutes from Downtown Austin and Circuit of the Americas. This neighborhood is convenient to food, shopping and much more!\n\nTwo bedrooms, one bathroom, living and dining space available.",30.39261411,-97.64181426,Two Bedrooms - Kitchen/Living Room,https://www.airbnb.com/rooms/11621540?location=Coupland%2C%20TX,March,2016,"30.392614106792397,-97.6418142563785","12609 Dessau Rd, Austin, TX 78754, USA"
2151,45,1,6,Round Rock,Jun-13,"Congratulations on finding the perfect place to stay. We have a Private room with a ceiling fan, full size closet, wireless access, access to swimming pool, washer and dryer, private patio for relaxing in the shade or laying out in the sun, close to Hwy (PHONE NUMBER HIDDEN), and the Dell Campus. austin is 15 minutes away and COTA is 30 minutes.",30.46608248,-97.64829672,Private Room in Warm Boutique Home,https://www.airbnb.com/rooms/7672843?location=Coupland%2C%20TX,June,2013,"30.4660824815559,-97.64829672093059","17015 Tortoise St, Round Rock, TX 78664, USA"
2158,66,1,5,Austin,Jul-14,"Welcome to your home away from home with resort amenities &amp; excellence all around. Located in NE Austin only 9 miles from Downtown &amp; 2 minutes walking distance from a full gym, pool, tennis, &amp; basketball courts. Offering a private room and bathroom.",30.34982673,-97.61723363,Quiet and Peaceful Getaway Resort,https://www.airbnb.com/rooms/3879676?location=Coupland%2C%20TX,July,2014,"30.349826727368697,-97.6172336258839","6504 Kirkwynd Dr, Austin, TX 78754, USA"
2169,49,1,3,Austin,Nov-16,Small place of the house!,30.37044245,-97.65143196,Little and lovely!,https://www.airbnb.com/rooms/16460948?location=Coupland%2C%20TX,November,2016,"30.370442452206696,-97.6514319615301","11129 Friendship Dr, Austin, TX 78754, USA"
2172,41,1,3,Austin,Apr-14,"Enjoy a peaceful stay hosted by an Airbnb Superhost in one of the most convenient areas of North Austin! 25 min drive to Downtown &amp; minutes away from tech companies such as Apple, Oracle, Dell, IBM, GM &amp; Samsung, shopping/restaurants @ the Domain/Rock Rose and grocery stores such as Whole Foods &amp; HEB.",30.42600289,-97.69515253,Tranquil Tempurpedic Comfort!,https://www.airbnb.com/rooms/3920081?location=Coupland%2C%20TX,April,2014,"30.4260028853243,-97.6951525274237","13102 Kellies Farm Ln, Austin, TX 78727, USA"
2177,33,2,1,Round Rock,Jan-16,"My place is good for couples, solo adventurers, and families (with kids). We can also babysit if you need us to",30.53830404,-97.65786095,Amazing,https://www.airbnb.com/rooms/17652237?location=Coupland%2C%20TX,January,2016,"30.538304040107697,-97.6578609531441","1205 Deerhound Pl, Round Rock, TX 78664, USA"
2180,53,1,2,Round Rock,Jun-17,"Comfortable, private, security, home away from home",30.48020733,-97.68629642,Luxury Home,https://www.airbnb.com/rooms/19103222?location=Coupland%2C%20TX,June,2017,"30.4802073276906,-97.68629641963209","1000 W Louis Henna Blvd, Round Rock, TX 78681, USA"
2182,60,1,5,Round Rock,Nov-15,"Great location....Very close tp Dell! Easy access to many major highways. Close to shopping outlet mall and restaurants- 20 mins from downtown Austin, 10 mins to the Domain, 5 mins to downtown Round Rock, and 15 mins from the F1 race track.",30.48591062,-97.63162344,Cozy home with a pool,https://www.airbnb.com/rooms/16180135?location=Coupland%2C%20TX,November,2015,"30.485910623282198,-97.6316234360141","1221 Meister Ln, Pflugerville, TX 78660, USA"
2184,50,1,7,Pflugerville,Aug-13,"You will have one private room with two twin beds upstairs in my beautiful house, access to two sitting areas, two bathrooms, living room w/ Netflix, cool backyard patio/fire pit, kitchen, dining room, wifi, laundry.\n\nPerfect for business or tourism travelers. Close to Dell, Samsung, Apple, etc. An easy drive to downtown Austin. Great for ACL, SXSW, and Formula 1. Close to the Domain, Georgetown, Round Rock (and RR Outlets), Pflugerville, Leander, Cedar Park, Austin, Manor, etc. !",30.43239271,-97.66245142,"Just outside ATX, 2 beds private rm",https://www.airbnb.com/rooms/13462160?location=Coupland%2C%20TX,August,2013,"30.4323927137989,-97.6624514221339","1121 Strickling Dr, Austin, TX 78753, USA"
2194,63,2,2,Austin,May-16,"Open concept kitchen and concrete everywhere...floors, counters, shower \nand baseboards. If you don't like concrete you won't like this house :)\nLarge living area and two bedrooms with queen beds. I like my house so you might be jealous of me having it but you will enjoy the stay anyway. Drive way parking, oh yeah that's concrete too. A nice backyard and porch. Picture s don't show furnishings, but I promise they will be there.",30.38754937,-97.65750991,2-1 sweetness,https://www.airbnb.com/rooms/18269784?location=Coupland%2C%20TX,May,2016,"30.387549370625898,-97.65750990960709","12201 Shropshire Blvd, Austin, TX 78753, USA"
2198,138,1,7,Austin,Sep-12,"This is a relaxation oasis, intended for those looking to AVOID the downtown noise. North East Austin - 15 minutes to downtown - The Country\n\nAmenity-Rich 1960s Lifestyle Travel. Not just another bed and bathroom hotel. \n\nPrivate courtyard &amp; pool area.\nLoaded with extras. \n\nMovie Set Weekend Itineraries available. The Knoll sofa was used in \",30.33496455,-97.65114863,'66 MCM MadMen Private Apt /courtyard /pool,https://www.airbnb.com/rooms/716119?location=Coupland%2C%20TX,September,2012,"30.3349645487655,-97.6511486273387","3605 E-K Ln, Austin, TX 78754, USA"
2206,39,1,5,Pflugerville,Mar-16,"This is a nice, quite, cheaper and safe place to visit city of Austin, TX.\nIt is convenient to travel around Texas Capital for major events. it is near UT Austin and all major shopping centers.",30.4571794,-97.6580781,Stay as your own home,https://www.airbnb.com/rooms/11618226?location=Coupland%2C%20TX,March,2016,"30.4571793995352,-97.658078100492","16204 Viki Lynn Pl, Pflugerville, TX 78660, USA"
2222,50,0,5,Round Rock,Feb-17,"Brand new in-law's retreat. Room enough for 4. Relaxed community with swimming pool, lake, and park. Only 25 miles from downtown Austin and Austin Airport.",30.55874408,-97.61024848,Austin/Round Rock Private In-Law's Suite.,https://www.airbnb.com/rooms/17879790?location=Coupland%2C%20TX,February,2017,"30.558744084572602,-97.6102484775261","3348 Cortes Pl, Round Rock, TX 78665, USA"
2223,38,0,6,Austin,May-14,"Airstream is one of our 10+ AirBnB units for rent at the Community First Village, a 27-acre master planned community for the homeless in East Austin.\nThere's nearby individual-style bathhouse and outdoor kitchen. Gardens, chickens, goats, donkeys, bees, blacksmithing, timberframing and more are all happening right outside your window. It's a Village for the chronically homeless that is visited by thousands annually who come to experience the Village through our AirBnB as well as volunteer work!",30.28312926,-97.62303821,Airstream at MLF Community First Village,https://www.airbnb.com/rooms/17624098?location=Coupland%2C%20TX,May,2014,"30.283129260710897,-97.62303821383671","9301 Hog Eye - Community First, Texas 78724, USA"
2225,32,1,5,Austin,Aug-14,"This lovely private room sits in the quiet neighborhood of University Hills, which is easily accessible to Downtown, Mueller, COTA, the Arboretum, UT, UT football games, and the Domain. You can freshen up in your own private bathroom and rest your head on a comfy queen size bed. The common areas are bright, open and clean since they were newly renovated.",30.32093134,-97.67447827,Charming Room in University Hills,https://www.airbnb.com/rooms/3828619?location=Coupland%2C%20TX,August,2014,"30.3209313444375,-97.67447826646021","7213 Hartnell Dr, Austin, TX 78723, USA"
2226,300,4,6,Pflugerville,Sep-12,"Private residence 20 miles North East of Austin in Pflugerville, TX with quick access to both the 130 &amp; 45 toll roads. Perfect for ACL, SXSW, Formula 1 or for a few days away to enjoy all that Central Texas has to offer. \r\n",30.45762984,-97.5831914,Beautiful 4 bedroom home sleeps 7,https://www.airbnb.com/rooms/691979?location=Coupland%2C%20TX,September,2012,"30.4576298371172,-97.5831914012363","2809 Standing Juniper Ct, Pflugerville, TX 78660, USA"
2233,34,1,3,Pflugerville,Mar-16,"Cozy and bright home in Pflugerville. Centrally located with plenty of shops in every direction. Downtown Austin is about a 25 minute drive from here or appx 11 miles. Parking available. *Please note, I do have pets.",30.46187917,-97.64029025,Cozy Pflugerville Home,https://www.airbnb.com/rooms/11554753?location=Coupland%2C%20TX,March,2016,"30.4618791747193,-97.64029024600391","911 Black Locust Drive West, Pflugerville, TX 78660, USA"
2235,40,2,7,Pflugerville,Jan-16,"Nice open space, with 3 living areas, Two bedrooms, 1 Queen bed in one room and 2 Twin beds in the other room and a fourth twin bed can be added downstairs. Large outdoor patio with open pit brick fire place. A large area for cooking and a dinning area for breakfast and meals. Nice &amp; quite area.",30.41720062,-97.65564567,"Very nice 2 story home, 1.5 bath.",https://www.airbnb.com/rooms/10875843?location=Coupland%2C%20TX,January,2016,"30.4172006157505,-97.6556456671365","13725 Lampting Dr, Pflugerville, TX 78660, USA"
2239,150,2,3,Austin,Jul-15,"Cozy and comfortable getaway located in North Austin. Enjoy a glass of wine on the patio after a fun day of seeing the town, shopping or even work.",30.40592998,-97.64964657,Cozy Little House,https://www.airbnb.com/rooms/15132516?location=Coupland%2C%20TX,July,2015,"30.405929978414896,-97.64964657245659","1105 Haverford Dr, Austin, TX 78753, USA"
2241,29,1,3,Round Rock,Jun-16,"Enjoy a stay in our private outdoor cozy casita space. King size bed, big television with cable, private bath and big shower .\nCoffee and Tea bar with a microwave. Iron and ironing board, towels and soap provided.\nNear shopping outlet mall , HEB and Scott and White Hospital, restaurants just a few minutes away! 15 minutes from the Domain in Austin.",30.57558814,-97.66584723,Cozy private Casita,https://www.airbnb.com/rooms/19095912?location=Coupland%2C%20TX,June,2016,"30.5755881391894,-97.6658472334346","4383 Nash Ranch Loop, Round Rock, TX 78665, USA"
2253,100,2,5,Pflugerville,Jul-16,"Willing to share available private rooms in a nice, quiet and private beautiful home in Pflugerville. Home is about 25 mins away from Austin. \n\nThere is room for teenagers/kids. Home is equipped with an espresso and coffee making machines and nice backyard. \n\nNight lamps and fire extinguishers installed. Smart home security. Indoor games for fun. Enjoy your stay..",30.4436626,-97.5610865,Beautiful home in Pflugerville area,https://www.airbnb.com/rooms/15316649?location=Coupland%2C%20TX,July,2016,"30.443662595939497,-97.5610864985626","18316 Bassano Ave, Pflugerville, TX 78660, USA"
2261,40,1,4,Round Rock,Feb-14,"It's a big and comfortable house that can lease a single bedroom or two! Located near major roads while still nestled on a quiet street. Close to HEB, restaurants, a farmers market, parks. Enjoy a gourmet kitchen, a pool table and home theater.",30.54453092,-97.59934167,Comfortable 4BD w/WiFi w/Parking,https://www.airbnb.com/rooms/3594714?location=Coupland%2C%20TX,February,2014,"30.5445309221229,-97.59934167297399","5809 Sardinia Dr, Round Rock, TX 78665, USA"
2265,72,1,5,Pflugerville,Nov-13,"My place is close to nightlife, family-friendly activities, and public transport. You‰Ûªll love my place because of the neighborhood, the outdoors space, the comfy bed, the kitchen, and the light. My place is good for couples, solo adventurers, and business travelers.",30.4447941,-97.65114252,Queen size Room for rent,https://www.airbnb.com/rooms/15156415?location=Coupland%2C%20TX,November,2013,"30.4447941025244,-97.6511425222035","15507 Spring Hill Ln, Pflugerville, TX 78660, USA"
2267,52,1,4,Pflugerville,Oct-14,"My place is close to Shopping, movies, water park, trails, brewery, toll way. . My place is good for couples, solo adventurers, and business travelers.",30.46601574,-97.62780475,"Quaint, quiet and comfortable-bedroom",https://www.airbnb.com/rooms/13842357?location=Coupland%2C%20TX,October,2014,"30.4660157398075,-97.62780474722429","17700 Worley Dr, Pflugerville, TX 78660, USA"
2276,100,1,10,Pflugerville,Nov-16,"Our place is friendly, clean and cozy, with no pets, no smoking and no drama. We are close to Hawaiian Falls Pflugerville, and Stone Hill Shopping Center with easy access to highways which lead to Austin, Round Rock, and Georgetown. You‰Ûªll love our rental because of the ambiance, peaceful environment and our laid back personalities. Our place is good for couples, solo adventurers, and business travelers.",30.46096014,-97.58318129,"Clean, Quiet and Cozy - Two Private Rooms & Bath",https://www.airbnb.com/rooms/15813913?location=Coupland%2C%20TX,November,2016,"30.4609601439602,-97.5831812914752","2700 Grand Mission Way, Pflugerville, TX 78660, USA"
2277,30,1,5,Austin,Jul-10,"I have a spare bedroom, fully furnished for rent. Perfect for someone traveling here for business. Close to major employers such as Dell, IBM and National Instruments. Also close to the Domain and Arboretum areas. Easy access to Mopac and I35.",30.43029583,-97.69124916,furnished bedroom and full bath,https://www.airbnb.com/rooms/37324?location=Coupland%2C%20TX,July,2010,"30.430295826956602,-97.6912491601944","13425 Equestrian Cove, Austin, TX 78727, USA"
2292,45,2,3,Pflugerville,May-14,"Beautiful and bright! Great location in north Austin area, near I 35 in family friendly neighborhood. Updated with granite counter tops in kitchen and bathroom. Laminate wood and tile floors. Two cozy bedrooms.",30.45085556,-97.64670107,Cozy 2BD Townhome ,https://www.airbnb.com/rooms/3052917?location=Coupland%2C%20TX,May,2014,"30.450855556198302,-97.6467010714308","16106 Windermere Dr, Pflugerville, TX 78660, USA"
2297,50,2,7,Austin,Feb-14,"Private guest room and bathroom located in new home in quiet neighborhood, North Austin. No additional fees or charges below 2 guests. NOTE: home to large, friendly DOGS--please see note in the detailed description. WE CANNOT ACCEPT SAME-DAY RESERVATIONS",30.3563616,-97.64152372,Private 2 Bedroom (3+beds)/1 Bathroom in Home,https://www.airbnb.com/rooms/2432311?location=Coupland%2C%20TX,February,2014,"30.3563615981083,-97.6415237223382","11117 Reliance Creek Dr, Austin, TX 78754, USA"
2298,80,0,2,Austin,May-17,"Casa Italia is a guest suite with an independent entrance.\nConveniently located close to the city center and several large businesses, it fits the needs of leisure and business travelers alike.\nIt's furnished with a new, queen-size bed, a 32\",30.33384109,-97.64916518,Casa Italia,https://www.airbnb.com/rooms/18508388?location=Coupland%2C%20TX,May,2017,"30.333841085043602,-97.6491651787277","9204 Wellesley Dr, Austin, TX 78754, USA"
2304,50,1,6,Pflugerville,Oct-12,"Location... 200 yards north of the Austin city limit. Seven minutes east of I-35. The bus terminal is half way between the house and the freeway. This is a quiet tree-lined area with plenty of groceries, drugstores and restaurants as well as big box stores along I-35 close by. Walnut Creek Park is a beautiful natural spot for a run or a few minutes by the creek. In good traffic, our exit is 15 minutes from downtown. Please note , there is no good traffic during South by Southwest. ENJOY!",30.41378511,-97.6486416,Zen Room in Music Loving House,https://www.airbnb.com/rooms/17515816?location=Coupland%2C%20TX,October,2012,"30.4137851074819,-97.6486415971573","13713 Lothian Dr, Pflugerville, TX 78660, USA"
2320,49,1,9,Austin,May-13,"My husband and I have been hosting guests around the world since 2007. We enjoy meeting people. We live in a very quiet neighborhood. our goal is to make sure our guests feel comfortable at home. The room is very cozy with desk and closet. The location is unbeatable, Convenient to Hwy. 290, Hwy. 183 and SH-130. Close to major employers like Samsung, Dell and Applied Materials. Only 10 miles to the University of Texas, 20 min to downtown and to the airport.",30.35271997,-97.60855138,"Stylish room close to IT Dist Dell, Samsung, Apple",https://www.airbnb.com/rooms/14149815?location=Coupland%2C%20TX,May,2013,"30.3527199713157,-97.60855138314241","11704 Roscommon Trail, Austin, TX 78754, USA"
2326,125,3,5,Round Rock,Sep-14,"My place is close to H-E-B, Dell, Round Rock Outlet, Dell Diamond, Hawaiian Falls Water Park, The Domain . You‰Ûªll love my place because of the location, the views, the ambiance, the outdoors space, the people, the access to all the major highways . My place is good for couples, solo adventurers, business travelers, families (with kids), and big groups.",30.48175354,-97.65336544,Beautiful 2 Story Modern Home,https://www.airbnb.com/rooms/14982247?location=Coupland%2C%20TX,September,2014,"30.481753536636898,-97.65336543566971","1606 Thibodeaux Dr, Round Rock, TX 78664, USA"
2328,55,1,6,Austin,Sep-10,"OL (PHONE NUMBER HIDDEN) - Licensed \nGated community is safe, quiet, and clean. \nMy home was inspected by third party and city inspector on March 2015. \n\nNo Bedbugs, No Mold, Filters changed frequently, Hypoallergenic fragrance free detergent used.",30.39653795,-97.65441379,Two Queen Bedrooms - North Austin,https://www.airbnb.com/rooms/2484025?location=Coupland%2C%20TX,September,2010,"30.3965379455191,-97.6544137852096","1197 E Parmer Ln, Austin, TX 78753, USA"
2332,250,3,6,Austin,Sep-13,"My place is great for couples, families (with kids), and big groups looking to save money on an overpriced hotel room! It's in a quiet neighborhood and is a new house with great features!",30.23795661,-97.57965291,"Great, cozy space in East Austin!",https://www.airbnb.com/rooms/17347183?location=Coupland%2C%20TX,September,2013,"30.2379566053657,-97.579652914436","15113 Parrish Ln, Austin, TX 78725, USA"
2333,50,1,6,Pflugerville,Aug-13,"You will have room with queen bed upstairs in my beautiful house, access to sitting areas, two bathrooms, living room w/ Netflix, cool backyard patio/fire pit, kitchen, dining room, laundry, etc. \n\nPerfect for business or tourism travelers. Close to Dell, Samsung, Apple, etc. An easy drive to downtown Austin. Great for ACL, SXSW, and Formula 1. Close to the Domain, Georgetown, Round Rock (and RR Outlets), Pflugerville, Leander, Cedar Park, Austin, Manor, etc. ! You'll love it.",30.4328129,-97.66119261,"Just outside Austin ATX, Queen room",https://www.airbnb.com/rooms/13548463?location=Coupland%2C%20TX,August,2013,"30.4328129047924,-97.6611926122591","1020 Strickling Dr, Austin, TX 78753, USA"
2337,50,1,6,Round Rock,Feb-16,"IT'S EVERYTHING: 1 bedroom, bath, sitting room, balcony overlooking Bright Lake views &amp; walking trails, secluded garden &amp; direct access to Old Settler's Park . Walking distance to Dell Diamond &amp; shopping. Minutes to Historic DT entertainment.",30.53665557,-97.62288465,Rooms with a view. Room 2,https://www.airbnb.com/rooms/11607632?location=Coupland%2C%20TX,February,2016,"30.5366555675207,-97.6228846481319","3400 Yogi Berra Way, Round Rock, TX 78665, USA"
2342,200,4,9,Austin,Oct-15,"This spacious 4 bedroom home is located 7 minutes from the Domain and centered 15 minutes between Downtown and Round Rock. We have a major grocery store, nail salon and several unique restaurants located within five minutes. Perfect for ACL, F1, SXSW, Christmas and New Years! Relax, recharge, repeat!",30.44229977,-97.68203828,"Sleeps 12, Huge 4BR, 2BA - Austin Super Host!",https://www.airbnb.com/rooms/8753568?location=Coupland%2C%20TX,October,2015,"30.442299769445896,-97.6820382764485","2208 Klattenhoff Dr, Austin, TX 78728, USA"
2343,57,1,5,Round Rock,Jul-16,"Our home is the perfect place to relax while on your travels. Our home is for pet lovers! Our resident four legged boys, Sumo, Oliver &amp; Austin &amp; absolutely love meeting new friends! Our boys do not enter the guest area.\n\nThe guest area includes a private bathroom &amp; bedroom with a Queen size Gel infused Memory foam including a 55\",30.54730494,-97.59269654,New + Clean Private Suite,https://www.airbnb.com/rooms/14118463?location=Coupland%2C%20TX,July,2016,"30.547304942487997,-97.59269653830108","8205 Angelo Loop, Round Rock, TX 78665, USA"
2348,125,3,3,Round Rock,Jul-16,"This spacious 1591 sq ft. house is a 10 min walk or 5 min drive to downtown Round Rock. Hop on 35 or Mopac to head to downtown Austin. Near Dell Diamond, Ikea, The Domain and RR outlet mall. An easy drive to events such as Formula1, SXSW and ACL!",30.503242,-97.67267441,The Boho House,https://www.airbnb.com/rooms/14238624?location=Coupland%2C%20TX,July,2016,"30.5032419970996,-97.6726744085206","406 Garden Path Dr, Round Rock, TX 78664, USA"
